nic2,total_gva20,total_output20,total_labour_cost20,total_emoluments20,total_capital20,factory_count20,labour_intensity20,gva_per_labour_cost20,capital_gva_ratio20,total_gva21,total_output21,total_labour_cost21,total_emoluments21,total_capital21,factory_count21,labour_intensity21,gva_per_labour_cost21,capital_gva_ratio21,total_gva22,total_output22,total_labour_cost22,total_emoluments22,total_capital22,factory_count22,labour_intensity22,gva_per_labour_cost22,capital_gva_ratio22,gva_drop_pct,gva_recovery_pct,labour_intensity_baseline,labour_intensive,min_factory_count
23,5882973418286.203,6882676170551,6500571143986.813,6524605239567.826,14940515001526.88,4351,.43509686,.9049933,2.5396197,5822434009486.25,6913470798001.875,6045981292892.963,6082963085893.9,7997470251806.73,4297,.75598669,.96302545,1.3735614,7120551764784,8321127978739.5,6126906509481.813,6321525646192,9452199481745.281,4328,.64819902,1.1621773,1.3274533,-1.0290614,22.295105,.43509686,Labour-intensive,4297
24,21879754682798,22873248138526,18187097239371.25,18734694888512.75,26685166043917,2616,.68154335,1.2030373,1.2196282,22574717896333.5,24118905610751,18266306667094.66,18602494802829,23667659543682,2696,.77178341,1.2358665,1.0484145,35040852250692,36662080325394.5,18174982289165,18585771408414.25,29101540821648.5,2658,.62453675,1.9279717,.83050323,3.1762843,55.221661,.68154335,Labour-intensive,2616
25,3763490592109.313,3908694697541.875,1565751267074.656,1641910005093.75,6254042787313,2288,.25035825,2.4036324,1.6617665,3545936264392.688,3689473621751.25,1570813964055.125,1553326723937.094,6218304466552.875,2389,.25261131,2.2573879,1.7536424,4777640796923.592,4931285347510.236,1481108093675,1530691472302.938,6825487479701,2419,.21699667,3.2257206,1.4286313,-5.780653,34.735664,.25035825,Capital-intensive,2288
26,3178876577330,3376861916048,701467780795.5,806735474085,4891063453423,796,.14341825,4.5317497,1.5386138,3311933196403,3440570152294,747052032807,910916123550.5,5799051706257,823,.12882313,4.4333367,1.7509568,5489178790606,5634878865557,1070813652131.25,1250450514108.375,8051674540356.5,869,.13299267,5.1261754,1.4668268,4.1856489,65.739418,.14341825,Capital-intensive,796
27,5681833622945,5891958825995,1616317802478.5,1742802849632.5,7880339347324,2241,.20510764,3.5152948,1.3869359,5728913694289,5986024663685,1786293874939.25,1829459333454.5,8533444048495,2332,.20932859,3.2071507,1.4895396,7322044245353,7511402272254,1760134018020,1883314758194,9564650870519.5,2363,.18402492,4.1599355,1.3062814,.82860702,27.808598,.20510764,Capital-intensive,2241
28,6675312929803.5,6904478017509,2811542813876.75,2959847534401,11770271345636.5,2672,.23886813,2.3742526,1.7632539,6858058405020.5,7141968252678,2827835093074.875,2873459841323,11917185207605.75,2780,.23729052,2.4251974,1.7376908,8701884234334.5,8924577731717.5,2926567165085.875,3084609462107.5,14174825592882.35,2856,.20646231,2.9734101,1.6289375,2.7376316,26.885536,.23886813,Capital-intensive,2672
29,10903815556793,11644697431316,5745270353462,6353749309501.25,11231766808154.81,2012,.51151973,1.8978769,1.0300767,11093900506980,11789919680692,6301531841473.5,6263074684493.5,13336170899939,2041,.47251433,1.7605085,1.2021174,15251632140656,16153760113526,6475841721369.5,6464756975229.5,15519780722018.86,2062,.41726375,2.3551583,1.0175816,1.7432884,37.477634,.51151973,Labour-intensive,2012
30,4101196333964.5,4347987914609,1398603180035.5,1507531905851,4902357243641,724,.28529197,2.9323516,1.1953481,3937647967400,4222196846195,1344671550008.5,1351199119842.25,5096798132169,736,.26382673,2.9283345,1.2943763,4503787907296,4752357921888,1357322982144.25,1368663809067,5382985660112,783,.2521506,3.3181403,1.195213,-3.9878209,14.377617,.28529197,Capital-intensive,724
31,439241531449.8,474107505511.8,172007783718.8,186086853389.3,588302867076,625,.29237965,2.5536144,1.3393607,417267644004.5,449047682576,177762364421.5,186046905916.5,691309457673,655,.25713864,2.3473339,1.6567531,638654718216,678749606080,206900539668,230969615895.75,866528894831,689,.23876935,3.0867717,1.3568034,-5.0026889,53.056374,.29237965,Capital-intensive,625
32,4035177688137,4062561721059,486092520839.25,518453659030.375,4107885946952,1161,.11833155,8.3012543,1.0180186,3841764320484,3915577015446,569107900885.75,576738879604.25,5194478469799,1175,.10956016,6.7505026,1.3521075,5343763138516,5301386344346,593661154036.5,650816324262.75,5064510927712,1260,.11721984,9.0013695,.9477424,-4.7931809,39.096588,.11833155,Capital-intensive,1161
